"system";"bug_id";"instance_id";"is_ob";"is_eb";"is_sr"
"facebook";"2476";"1";"x";"";""
"httpd";"38923";"6";"";"x";""
"httpd";"48652";"3";"";"x";""
"firefox";"247330";"6";"";"";"x"
"eclipse";"139083";"3";"x";"";""
"firefox";"298807";"5";"";"x";""
"firefox";"629409";"4";"";"";"x"
"httpd";"8141";"1";"x";"";""
"firefox";"396039";"2";"x";"";""
"facebook";"3419";"12";"x";"";""
"httpd";"44962";"1";"x";"";""
"httpd";"8141";"2";"x";"";"x"
"firefox";"642737";"2";"x";"";""
"httpd";"38923";"7";"x";"x";""
"eclipse";"127201";"4";"x";"";""
"facebook";"3419";"3";"x";"";""
"facebook";"7834";"8";"x";"";""
"firefox";"409194";"5";"";"x";""
"eclipse";"139083";"2";"";"";"x"
"httpd";"18492";"10";"x";"";""
"firefox";"337760";"3";"x";"";""
"firefox";"629409";"5";"x";"";""
"httpd";"44962";"4";"x";"";""
"httpd";"27076";"1";"x";"x";""
"httpd";"8713";"1";"x";"";""
"facebook";"12646";"1";"x";"";""
"firefox";"334301";"2";"x";"";""
"firefox";"247330";"2";"x";"x";""
"firefox";"247330";"4";"x";"";""
"facebook";"10689";"1";"x";"";""
"firefox";"298807";"3";"x";"";""
"httpd";"18492";"11";"x";"";""
"httpd";"7798";"6";"x";"";""
"firefox";"292292";"8";"";"x";""
"firefox";"468805";"6";"x";"x";""
"firefox";"629409";"6";"";"x";""
"httpd";"44962";"3";"x";"";""
"eclipse";"135728";"1";"x";"";""
"firefox";"292292";"9";"x";"";""
"httpd";"8713";"2";"x";"";""
"firefox";"642737";"4";"";"";"x"
"httpd";"10489";"7";"x";"";""
"eclipse";"127201";"3";"x";"";""
"httpd";"16009";"1";"x";"";""
"firefox";"612524";"2";"x";"";""
"facebook";"12951";"4";"x";"";""
"eclipse";"4207";"2";"";"x";""
"httpd";"19442";"1";"x";"x";""
"facebook";"18169";"1";"x";"";""
"firefox";"421295";"7";"x";"";""
"firefox";"252353";"2";"x";"";""
"httpd";"8141";"5";"x";"";""
"facebook";"8717";"2";"x";"";""
"eclipse";"200060";"2";"";"";"x"
"firefox";"642737";"5";"";"x";""
"firefox";"639327";"7";"x";"";""
"httpd";"50278";"1";"x";"x";""
"httpd";"8034";"8";"x";"";""
"eclipse";"4207";"1";"x";"";""
"facebook";"8694";"1";"x";"";""
"httpd";"8546";"1";"x";"";""
"facebook";"4637";"4";"";"x";""
"facebook";"8717";"3";"x";"";""
"httpd";"44402";"9";"";"x";""
"httpd";"50278";"2";"";"x";""
"httpd";"30419";"26";"";"";"x"
"facebook";"11121";"1";"x";"";""
"facebook";"9084";"3";"x";"";""
"facebook";"13604";"2";"x";"";""
"facebook";"1498";"4";"x";"";""
"facebook";"12951";"2";"";"x";""
"firefox";"639327";"4";"";"";"x"
"eclipse";"53958";"3";"";"x";""
"firefox";"337760";"7";"";"";"x"
"facebook";"5366";"3";"x";"";""
"eclipse";"66132";"1";"x";"";""
"facebook";"2301";"1";"x";"";""
"firefox";"256169";"3";"";"";"x"
"facebook";"4637";"3";"x";"";""
"httpd";"30419";"29";"x";"";""
"firefox";"639327";"5";"";"x";""
"eclipse";"69678";"1";"x";"x";""
"eclipse";"256474";"1";"";"x";""
"firefox";"252353";"4";"x";"";""
"httpd";"19718";"2";"x";"";""
"httpd";"44433";"1";"x";"x";""
"firefox";"642737";"7";"x";"";""
"facebook";"13604";"3";"x";"";""
"httpd";"34421";"1";"x";"";""
"facebook";"10321";"4";"x";"";""
"facebook";"12951";"3";"x";"";""
"httpd";"19442";"2";"x";"";""
"firefox";"337760";"8";"x";"";""
"firefox";"256169";"2";"x";"";""
"facebook";"4637";"2";"";"";"x"
"httpd";"8141";"4";"x";"";""
"facebook";"14526";"3";"x";"";""
"firefox";"252353";"3";"";"";"x"
"httpd";"46773";"1";"";"x";"x"
"firefox";"639327";"2";"x";"";""
"eclipse";"24679";"1";"x";"x";""
"eclipse";"53958";"1";"";"";"x"
"facebook";"5366";"1";"x";"";""
"httpd";"47923";"1";"";"x";""
"firefox";"302021";"5";"";"";"x"
"firefox";"337760";"9";"";"x";""
"firefox";"341327";"2";"x";"x";""
"firefox";"421295";"2";"x";"";""
"httpd";"43250";"1";"";"";"x"
"eclipse";"329047";"2";"";"";"x"
"facebook";"5640";"1";"x";"";"x"
"facebook";"16175";"2";"x";"";""
"firefox";"421854";"6";"";"";"x"
"httpd";"50902";"5";"x";"";""
"eclipse";"63650";"1";"x";"";""
"firefox";"236781";"3";"";"x";""
"firefox";"284918";"8";"";"x";""
"facebook";"7410";"2";"x";"";""
"httpd";"18492";"7";"x";"";""
"httpd";"43250";"2";"x";"";"x"
"eclipse";"50884";"1";"x";"";""
"eclipse";"104448";"1";"x";"x";""
"facebook";"13604";"1";"";"";"x"
"facebook";"13376";"1";"x";"x";""
"httpd";"16125";"1";"x";"";""
"firefox";"302021";"4";"x";"";""
"facebook";"12907";"1";"x";"";""
"eclipse";"329047";"1";"x";"";""
"firefox";"421295";"4";"";"";"x"
"firefox";"252353";"5";"";"x";""
"eclipse";"43057";"1";"x";"";"x"
"httpd";"50902";"4";"x";"";""
"httpd";"44962";"9";"";"";"x"
"firefox";"421854";"7";"";"x";""
"eclipse";"63650";"2";"";"";"x"
"facebook";"16175";"1";"x";"";""
"firefox";"236781";"2";"";"";"x"
"firefox";"284918";"7";"x";"";""
"httpd";"18492";"8";"x";"";""
"httpd";"43250";"3";"";"x";""
"httpd";"38009";"1";"";"x";""
"facebook";"8000";"2";"x";"";""
"eclipse";"164945";"1";"x";"";""
"firefox";"341327";"4";"";"";"x"
"eclipse";"325264";"7";"";"";"x"
"facebook";"14206";"1";"x";"";""
"eclipse";"105368";"1";"x";"";""
"firefox";"421295";"5";"";"x";""
"firefox";"421854";"4";"";"x";""
"facebook";"5200";"1";"x";"x";"x"
"facebook";"16175";"4";"";"x";""
"httpd";"12155";"1";"x";"";""
"eclipse";"24679";"2";"";"x";""
"facebook";"14206";"2";"x";"";""
"httpd";"30419";"24";"x";"x";""
"facebook";"5640";"2";"x";"";""
"httpd";"11192";"1";"x";"";""
"httpd";"39211";"3";"x";"";""
"httpd";"27715";"1";"x";"";""
"eclipse";"60657";"1";"";"";"x"
"facebook";"13356";"4";"x";"";""
"httpd";"10687";"2";"x";"";"x"
"eclipse";"11184";"3";"x";"x";""
"eclipse";"317569";"4";"";"x";"x"
"facebook";"13378";"2";"x";"";""
"firefox";"247216";"6";"";"x";""
"facebook";"17716";"4";"";"";"x"
"facebook";"1298";"1";"x";"";""
"firefox";"549600";"9";"x";"";""
"httpd";"50199";"1";"x";"x";""
"facebook";"2413";"1";"x";"";""
"facebook";"8179";"1";"x";"";""
"eclipse";"187321";"4";"";"";"x"
"eclipse";"7485";"1";"";"";"x"
"eclipse";"11184";"4";"x";"";""
"facebook";"17716";"3";"x";"";""
"eclipse";"208860";"4";"";"";"x"
"eclipse";"67940";"1";"x";"";""
"facebook";"9283";"1";"x";"";""
"facebook";"11886";"1";"x";"x";""
"firefox";"645010";"2";"x";"";""
"httpd";"48364";"1";"x";"";""
"eclipse";"306006";"2";"x";"x";"x"
"facebook";"13356";"6";"x";"";""
"firefox";"453787";"2";"x";"";""
"firefox";"639238";"7";"x";"";""
"eclipse";"99059";"2";"";"x";""
"httpd";"15923";"17";"x";"";""
"eclipse";"11184";"1";"x";"";""
"facebook";"2490";"1";"x";"";""
"firefox";"247216";"4";"";"";"x"
"httpd";"33724";"5";"";"x";""
"httpd";"16866";"1";"x";"";""
"eclipse";"294864";"1";"x";"x";""
"facebook";"10257";"5";"x";"";""
"facebook";"16018";"2";"x";"";""
"facebook";"4629";"2";"x";"";""
"eclipse";"187321";"6";"x";"";""
"httpd";"49633";"1";"x";"";""
"facebook";"3772";"1";"x";"";""
"httpd";"23728";"14";"x";"";""
"eclipse";"317569";"6";"x";"";""
"facebook";"6776";"3";"";"x";""
"facebook";"3310";"1";"x";"";""
"facebook";"2074";"1";"";"";"x"
"eclipse";"208860";"2";"x";"";""
"eclipse";"317569";"5";"";"x";""
"httpd";"28529";"3";"x";"";""
"firefox";"247216";"5";"x";"";""
"facebook";"353";"1";"x";"";""
"facebook";"1648";"1";"x";"";""
"httpd";"15597";"3";"x";"";""
"firefox";"239727";"2";"x";"";""
"facebook";"16018";"3";"x";"";""
"facebook";"13018";"3";"x";"x";""
"facebook";"10257";"4";"x";"";""
"eclipse";"7485";"2";"x";"";""
"eclipse";"325755";"3";"";"";"x"
"facebook";"6776";"2";"x";"";"x"
"facebook";"3310";"2";"x";"";""
"httpd";"23728";"15";"";"x";""
"facebook";"17958";"1";"x";"";""
"eclipse";"241172";"1";"";"";"x"
"firefox";"639238";"5";"";"x";""
"firefox";"247216";"2";"x";"";""
"httpd";"42929";"2";"";"";"x"
"firefox";"253953";"2";"x";"";""
"eclipse";"33259";"2";"x";"";""
"firefox";"274044";"2";"x";"";""
"httpd";"23728";"5";"x";"";""
"facebook";"3005";"3";"x";"";""
"httpd";"34421";"10";"x";"";""
"httpd";"33724";"2";"x";"";""
"eclipse";"306824";"2";"x";"";""
"firefox";"381806";"1";"";"";"x"
"facebook";"8988";"4";"x";"";""
"facebook";"6776";"1";"x";"";""
"firefox";"351604";"4";"x";"";""
"firefox";"458603";"10";"";"x";""
"httpd";"42731";"7";"";"x";""
"eclipse";"3553";"3";"";"x";""
"eclipse";"241172";"2";"x";"";""
"eclipse";"330854";"3";"x";"";""
"firefox";"504261";"2";"x";"x";""
"facebook";"13323";"2";"x";"";""
"eclipse";"125135";"2";"x";"";""
"facebook";"14131";"3";"x";"x";""
"firefox";"247216";"3";"x";"";""
"httpd";"42929";"3";"";"x";""
"firefox";"280723";"6";"";"x";""
"firefox";"274044";"3";"";"";"x"
"eclipse";"306824";"3";"x";"";""
"httpd";"33724";"1";"x";"";""
"firefox";"228607";"6";"";"x";""
"httpd";"22346";"1";"x";"x";""
"httpd";"30865";"1";"x";"";""
"facebook";"13323";"5";"";"x";""
"eclipse";"113724";"2";"";"";"x"
"httpd";"7970";"2";"x";"";""
"eclipse";"317569";"2";"";"";"x"
"facebook";"13356";"2";"";"x";""
"eclipse";"3553";"2";"";"";"x"
"firefox";"253953";"10";"";"";"x"
"eclipse";"103553";"1";"x";"";""
"eclipse";"152809";"2";"x";"";""
"firefox";"228607";"5";"";"";"x"
"firefox";"639238";"2";"x";"";""
"firefox";"613580";"2";"x";"";""
"facebook";"13323";"4";"x";"";""
"facebook";"13356";"1";"x";"";""
"facebook";"17716";"1";"";"";"x"
"firefox";"639238";"4";"";"";"x"
"eclipse";"87363";"7";"x";"";""
"httpd";"15923";"1";"x";"";""
"httpd";"42929";"1";"x";"";""
"firefox";"369380";"7";"x";"";""
"eclipse";"33259";"3";"x";"";""
"eclipse";"306824";"1";"x";"";""
"facebook";"15809";"3";"x";"";""
"firefox";"422263";"4";"";"";"x"
"eclipse";"113724";"4";"";"x";""
"facebook";"7932";"2";"x";"x";""
"firefox";"266370";"7";"";"x";""
"firefox";"336495";"10";"x";"";""
"firefox";"396039";"7";"";"x";""
"httpd";"38923";"1";"x";"";""
"firefox";"269657";"2";"x";"";""
"httpd";"7798";"5";"x";"";""
"firefox";"446167";"5";"";"x";""
"facebook";"12585";"1";"";"";"x"
"eclipse";"152809";"4";"x";"";""
"firefox";"314999";"2";"x";"";""
"facebook";"16681";"1";"x";"";""
"httpd";"11638";"3";"x";"x";""
"firefox";"645010";"9";"x";"";""
"facebook";"7834";"2";"x";"";""
"firefox";"266508";"4";"";"";"x"
"firefox";"369380";"5";"";"x";""
"eclipse";"113724";"3";"x";"";""
"httpd";"39313";"1";"x";"x";""
"firefox";"253230";"6";"";"x";""
"facebook";"7932";"1";"x";"";""
"eclipse";"316459";"1";"x";"";""
"eclipse";"138514";"3";"x";"";""
"eclipse";"283431";"1";"x";"";""
"facebook";"13084";"1";"x";"";""
"httpd";"40981";"4";"x";"";""
"firefox";"396039";"6";"";"";"x"
"firefox";"269657";"3";"";"";"x"
"httpd";"7798";"4";"";"";"x"
"eclipse";"152809";"3";"x";"";""
"firefox";"446167";"6";"x";"";""
"httpd";"46417";"2";"";"";"x"
"eclipse";"113061";"4";"x";"";""
"httpd";"21133";"2";"x";"";""
"httpd";"11638";"2";"x";"";""
"facebook";"10079";"5";"x";"";""
"httpd";"10489";"5";"x";"";""
"firefox";"422263";"2";"x";"";""
"facebook";"9708";"1";"";"x";""
"firefox";"266508";"5";"x";"";""
"eclipse";"295138";"1";"x";"x";""
"firefox";"381201";"2";"x";"";""
"firefox";"369380";"4";"";"";"x"
"firefox";"253230";"5";"x";"";""
"firefox";"422263";"6";"x";"";""
"firefox";"351604";"2";"x";"";""
"eclipse";"98412";"1";"x";"x";""
"eclipse";"201897";"1";"";"";"x"
"httpd";"38923";"3";"x";"";""
"firefox";"266370";"5";"";"";"x"
"eclipse";"138514";"2";"x";"";""
"facebook";"122";"2";"x";"";""
"facebook";"12585";"3";"";"x";""
"facebook";"7747";"2";"x";"";""
"firefox";"233739";"2";"";"";"x"
"firefox";"274044";"4";"x";"";""
"eclipse";"306824";"4";"x";"";""
"httpd";"25949";"1";"x";"";""
"firefox";"446167";"2";"x";"";""
"eclipse";"113061";"1";"x";"";""
"firefox";"381806";"3";"x";"";""
"firefox";"645010";"7";"";"";"x"
"httpd";"10489";"4";"x";"";""
"firefox";"266508";"6";"";"x";""
"firefox";"253230";"4";"";"";"x"
"firefox";"422263";"5";"";"x";""
"httpd";"38213";"6";"x";"";""
"httpd";"38923";"4";"x";"";""
"firefox";"336495";"11";"";"x";""
"httpd";"7798";"2";"";"";"x"
"eclipse";"269970";"1";"x";"";""
"httpd";"10687";"7";"";"";"x"
"facebook";"12585";"4";"x";"";""
"facebook";"122";"1";"x";"";""
"facebook";"7747";"3";"x";"";""
"firefox";"453787";"9";"x";"";""
"firefox";"274044";"5";"";"x";""
"firefox";"292292";"4";"";"";"x"
"firefox";"645010";"8";"";"x";""
"firefox";"381806";"2";"";"x";""
"facebook";"5063";"1";"x";"x";""
"facebook";"7834";"3";"";"";"x"
"httpd";"14303";"1";"";"x";""
"httpd";"10489";"3";"x";"";""
"facebook";"10079";"3";"x";"";""
"httpd";"15597";"2";"x";"";""
"httpd";"50996";"3";"x";"x";""
"firefox";"369380";"2";"x";"";""
"facebook";"3427";"2";"x";"";""
"httpd";"10687";"6";"x";"";""
"eclipse";"152809";"8";"";"x";""
"eclipse";"176668";"1";"";"";"x"
"facebook";"353";"2";"";"";"x"
"httpd";"22437";"2";"x";"";""
"facebook";"7780";"2";"x";"";""
"httpd";"28529";"1";"x";"";""
"firefox";"276713";"1";"x";"";""
"firefox";"278242";"1";"";"";"x"
"facebook";"13018";"2";"x";"";""
"httpd";"15597";"1";"";"x";""
"firefox";"253230";"2";"x";"";""
"httpd";"28582";"1";"x";"x";""
"firefox";"336495";"2";"x";"";"x"
"eclipse";"238130";"1";"x";"";""
"httpd";"32426";"1";"x";"x";""
"eclipse";"317569";"7";"x";"";""
"facebook";"13018";"1";"x";"";""
"httpd";"10687";"4";"x";"";""
"firefox";"616093";"2";"";"";"x"
"facebook";"13084";"4";"x";"";""
"firefox";"269657";"4";"x";"";""
"firefox";"453787";"6";"";"x";""
"firefox";"336495";"6";"x";"";""
"httpd";"11801";"1";"x";"";""
"eclipse";"176668";"3";"x";"";""
"eclipse";"320785";"2";"x";"";""
"eclipse";"41883";"1";"x";"";""
"firefox";"645010";"3";"x";"";""
"httpd";"21133";"3";"";"x";""
"eclipse";"187321";"2";"";"";"x"
"eclipse";"36346";"3";"x";"x";""
"httpd";"32426";"2";"x";"x";""
"eclipse";"16015";"2";"";"";"x"
"facebook";"12692";"2";"";"x";""
"firefox";"278242";"3";"x";"x";""
"eclipse";"235058";"2";"x";"";""
"firefox";"616093";"3";"x";"";""
"eclipse";"298837";"1";"x";"";"x"
"facebook";"13084";"3";"x";"";""
"firefox";"396039";"8";"x";"";""
"firefox";"269657";"5";"";"x";""
"httpd";"8090";"4";"x";"x";""
"firefox";"453787";"5";"";"";"x"
"eclipse";"176668";"2";"";"x";""
"facebook";"5163";"1";"x";"x";""
"eclipse";"187321";"1";"x";"";""
"eclipse";"36346";"4";"";"x";""
"eclipse";"165342";"5";"x";"x";""
"eclipse";"16015";"3";"x";"x";""
"eclipse";"24924";"2";"x";"x";""
"firefox";"251376";"2";"";"x";""
"facebook";"7198";"1";"x";"";""
"firefox";"422326";"2";"x";"";""
"eclipse";"321564";"3";"";"";"x"
"facebook";"305";"1";"x";"";""
"httpd";"10712";"1";"x";"";""
"httpd";"43275";"1";"x";"";""
"facebook";"14578";"3";"x";"";""
"facebook";"4327";"3";"x";"";""
"firefox";"261198";"4";"x";"";""
"firefox";"334991";"4";"";"";"x"
"httpd";"9972";"1";"x";"";""
"facebook";"305";"12";"x";"";""
"firefox";"384936";"2";"x";"";""
"firefox";"601004";"3";"x";"x";""
"facebook";"4412";"1";"x";"";""
"facebook";"7198";"2";"x";"";""
"httpd";"40657";"1";"x";"";""
"httpd";"43275";"2";"x";"";""
"firefox";"334991";"6";"x";"";""
"firefox";"336495";"7";"x";"x";""
"firefox";"369351";"8";"";"";"x"
"firefox";"215262";"6";"";"x";""
"eclipse";"219552";"1";"x";"";""
"firefox";"261198";"5";"";"x";""
"firefox";"334991";"5";"";"x";""
"firefox";"468770";"2";"x";"";""
"facebook";"4109";"3";"x";"";""
"firefox";"251376";"4";"";"";"x"
"firefox";"601004";"2";"";"";"x"
"httpd";"20438";"5";"x";"x";""
"firefox";"458603";"9";"x";"";""
"httpd";"15751";"1";"x";"x";""
"httpd";"43275";"3";"x";"";""
"firefox";"309377";"2";"x";"";""
"facebook";"5892";"1";"x";"";""
"eclipse";"108559";"1";"x";"";""
"firefox";"403387";"2";"x";"";""
"httpd";"17856";"1";"x";"";""
"facebook";"5018";"1";"x";"";""
"firefox";"343431";"2";"x";"";""
"firefox";"261198";"2";"x";"";""
"firefox";"368320";"6";"";"x";""
"firefox";"384936";"4";"";"";"x"
"eclipse";"330015";"1";"x";"";""
"";"";"";"";"";""
"httpd";"35721";"1";"x";"";""
"httpd";"24219";"6";"x";"x";""
"eclipse";"124036";"1";"";"x";""
"firefox";"458603";"8";"";"";"x"
"httpd";"40657";"3";"";"x";""
"facebook";"6034";"1";"x";"";""
"firefox";"336495";"9";"";"";"x"
"firefox";"251376";"5";"x";"";""
"facebook";"2736";"1";"x";"";""
"facebook";"15387";"1";"x";"";""
"httpd";"45356";"2";"x";"";""
"facebook";"6931";"3";"";"";"x"
"eclipse";"299011";"1";"x";"";""
"httpd";"17856";"2";"x";"";""
"firefox";"352242";"2";"x";"";""
"eclipse";"75521";"1";"x";"";"x"
"eclipse";"335951";"1";"x";"x";""
"firefox";"364478";"6";"";"x";""
"firefox";"261198";"3";"";"";"x"
"firefox";"384936";"5";"";"x";""
"eclipse";"330015";"2";"x";"";""
"httpd";"21160";"9";"x";"";""
"eclipse";"60101";"2";"";"";"x"
"facebook";"2736";"2";"x";"";""
"firefox";"403387";"5";"";"x";""
"facebook";"2379";"2";"";"";"x"
"eclipse";"73299";"3";"";"x";""
"httpd";"9972";"5";"x";"";""
"eclipse";"150";"1";"x";"x";""
"eclipse";"16643";"2";"x";"";"x"
"httpd";"45356";"3";"x";"";""
"facebook";"8455";"1";"x";"";""
"firefox";"243855";"4";"";"";"x"
"firefox";"345843";"4";"";"";"x"
"httpd";"25090";"3";"x";"";""
"facebook";"9104";"1";"x";"";""
"httpd";"45487";"1";"x";"";""
"eclipse";"302185";"1";"x";"";""
"eclipse";"79982";"2";"";"x";""
"firefox";"284528";"2";"x";"";""
"eclipse";"155913";"1";"";"";"x"
"firefox";"403387";"4";"";"";"x"
"facebook";"2736";"3";"x";"";""
"firefox";"369351";"4";"x";"";""
"eclipse";"73299";"4";"";"x";""
"firefox";"215262";"2";"x";"";""
"facebook";"15363";"1";"x";"";""
"httpd";"13356";"1";"x";"";""
"firefox";"233739";"1";"x";"";""
"firefox";"518392";"2";"x";"";""
"facebook";"10755";"4";"";"x";""
"facebook";"13756";"2";"x";"";""
"firefox";"389003";"5";"";"x";""
"eclipse";"157933";"5";"x";"";""
"httpd";"25507";"2";"x";"";""
"eclipse";"230933";"4";"x";"";""
"firefox";"345843";"5";"x";"";""
"httpd";"20438";"1";"x";"";""
"firefox";"266508";"2";"x";"";""
"facebook";"4665";"2";"x";"";""
"httpd";"34901";"2";"";"x";""
"eclipse";"79982";"1";"x";"";""
"facebook";"8818";"2";"x";"";""
"firefox";"369351";"3";"x";"x";""
"facebook";"8455";"3";"";"";"x"
"firefox";"215262";"5";"x";"";""
"facebook";"6931";"6";"x";"";""
"facebook";"15363";"3";"x";"";""
"firefox";"352242";"5";"";"";"x"
"eclipse";"230933";"3";"";"";"x"
"firefox";"345843";"6";"";"x";""
"firefox";"215939";"2";"x";"";"x"
"facebook";"612";"3";"x";"x";""
"eclipse";"39493";"2";"x";"";""
"firefox";"243855";"2";"x";"";""
"facebook";"9104";"2";"x";"";""
"eclipse";"60101";"3";"x";"";""
"firefox";"549600";"10";"x";"";""
"httpd";"20438";"2";"x";"";""
"facebook";"4412";"3";"x";"";""
"facebook";"8818";"3";"x";"x";""
"httpd";"45487";"3";"";"x";""
"firefox";"369351";"2";"";"";"x"
"firefox";"215262";"4";"";"";"x"
"firefox";"403387";"6";"x";"";""
"facebook";"2379";"1";"x";"";""
"firefox";"377066";"1";"x";"";""
"facebook";"5327";"4";"";"";"x"
"facebook";"14981";"1";"x";"";""
"httpd";"45356";"6";"x";"";""
"facebook";"4327";"6";"x";"";""
"facebook";"5205";"2";"";"x";""
"firefox";"458603";"3";"x";"x";""
"httpd";"9708";"1";"x";"";""
"facebook";"5545";"2";"x";"";""
"httpd";"12596";"2";"";"x";""
"httpd";"37145";"3";"x";"";""
"eclipse";"41836";"4";"x";"";""
"facebook";"2998";"1";"x";"";""
"httpd";"46018";"2";"x";"";""
"eclipse";"116715";"3";"";"x";""
"facebook";"227";"2";"x";"";""
"httpd";"42340";"4";"x";"";""
"httpd";"33679";"6";"x";"";""
"firefox";"266896";"2";"x";"";"x"
"eclipse";"73947";"1";"";"";"x"
"eclipse";"225512";"1";"x";"";""
"firefox";"438285";"4";"";"";"x"
"facebook";"14197";"1";"x";"";""
"facebook";"2202";"1";"x";"";""
"firefox";"247525";"6";"x";"";""
"firefox";"437110";"2";"x";"";""
"httpd";"45487";"5";"x";"";""
"eclipse";"41836";"3";"x";"";""
"httpd";"34901";"1";"x";"";""
"httpd";"42929";"7";"x";"x";""
"httpd";"25701";"2";"x";"";""
"firefox";"367386";"1";"x";"";""
"facebook";"9217";"3";"x";"";""
"firefox";"458603";"2";"";"x";""
"firefox";"367738";"6";"x";"";""
"firefox";"253953";"7";"x";"";""
"facebook";"17609";"1";"x";"";""
"firefox";"333204";"4";"";"";"x"
"eclipse";"221937";"2";"x";"x";""
"httpd";"42340";"3";"x";"";""
"firefox";"579338";"2";"x";"";""
"eclipse";"294983";"3";"";"x";""
"firefox";"228607";"2";"x";"";""
"firefox";"247525";"5";"";"";"x"
"httpd";"30419";"14";"";"";"x"
"httpd";"9708";"2";"";"";"x"
"firefox";"458603";"13";"x";"";""
"eclipse";"172636";"5";"x";"";""
"facebook";"13384";"1";"x";"";""
"httpd";"42929";"4";"x";"";""
"httpd";"19441";"1";"x";"";""
"httpd";"33679";"3";"";"";"x"
"firefox";"345242";"2";"x";"";""
"facebook";"2104";"2";"x";"";""
"firefox";"280723";"5";"x";"";""
"eclipse";"116715";"1";"x";"";"x"
"firefox";"367386";"2";"x";"x";""
"httpd";"43645";"1";"x";"";""
"facebook";"7905";"3";"x";"";""
"eclipse";"278951";"3";"";"x";""
"firefox";"324354";"4";"";"";"x"
"firefox";"345843";"2";"x";"";""
"facebook";"5896";"1";"x";"";""
"firefox";"549600";"2";"x";"";""
"httpd";"42340";"2";"x";"";""
"httpd";"33679";"4";"x";"";""
"firefox";"579338";"3";"x";"";""
"firefox";"266896";"4";"x";"";""
"facebook";"2070";"1";"x";"";""
"httpd";"21160";"10";"x";"";""
"firefox";"458603";"12";"";"x";""
"facebook";"16524";"1";"x";"";""
"firefox";"247525";"4";"";"x";""
"firefox";"438285";"2";"x";"";""
"httpd";"30419";"17";"x";"x";""
"httpd";"12596";"1";"x";"";""
"eclipse";"41836";"1";"";"";"x"
"firefox";"269121";"6";"x";"";""
"firefox";"379552";"6";"";"x";""
"firefox";"367738";"4";"";"";"x"
"httpd";"42929";"5";"x";"x";""
"firefox";"324354";"6";"";"x";""
"facebook";"7905";"2";"x";"";""
"eclipse";"190160";"2";"";"";"x"
"eclipse";"116715";"2";"";"";"x"
"firefox";"280723";"4";"";"";"x"
"httpd";"30419";"5";"";"";"x"
"eclipse";"288017";"1";"x";"";""
"eclipse";"278951";"2";"";"";"x"
"httpd";"21160";"11";"x";"";""
"firefox";"324354";"5";"x";"";""
"firefox";"549600";"3";"x";"";""
"eclipse";"73947";"2";"x";"";""
"firefox";"266896";"3";"";"";"x"
